# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.3
# Feature-Recorder: ip
# Filename: otw_pt2.pcapng
# Histogram-File-Version: 1.1
n=13294	192.168.125.132
n=2053	20.10.16.51
n=1651	35.186.194.58
n=1475	142.250.179.164
n=798	172.66.40.240
n=768	18.239.36.79
n=706	104.110.191.48
n=381	52.5.50.149
n=361	76.76.21.241
n=327	192.168.125.2
n=238	185.15.59.240
n=219	185.15.59.224
n=212	157.240.247.8
n=178	18.239.69.74
n=165	104.110.191.34
n=163	104.110.191.49
n=160	104.80.228.192
n=157	192.168.125.1
n=144	104.80.228.132
n=137	142.251.36.8
n=124	142.251.36.40
n=124	204.79.197.200
n=115	35.201.112.186
n=109	142.251.36.14
n=102	216.239.36.54
n=101	216.239.32.36
n=90	172.217.168.194
n=88	142.250.102.157
n=85	151.101.0.114
n=79	18.65.39.5
n=78	142.250.179.130
n=78	68.219.88.97
n=71	18.239.18.54
n=69	34.249.200.254
n=66	18.238.246.206
n=66	199.232.149.140
n=65	35.174.127.31
n=62	18.239.67.100
n=61	13.107.246.67
n=60	52.35.106.93
n=59	142.251.36.3
n=57	104.18.130.236
n=56	142.251.36.10
n=56	18.65.40.63
n=55	172.217.23.195
n=54	35.244.142.80
n=49	18.222.86.194
n=48	104.110.191.155
n=47	157.240.201.35
n=47	188.114.96.0
n=45	157.240.247.35
n=43	13.107.42.14
n=43	151.101.37.229
n=41	35.71.131.137
n=41	52.222.139.53
n=40	104.126.120.132
n=38	51.11.20.152
n=37	13.107.213.67
n=37	216.239.34.36
n=37	216.58.208.99
n=37	3.215.204.133
n=34	44.217.105.24
n=33	18.211.67.189
n=32	34.251.43.91
n=29	142.250.179.138
n=29	23.38.30.245
n=27	18.239.83.59
n=25	18.239.94.93
n=25	34.249.203.210
n=24	172.217.168.195
n=18	18.239.18.71
n=12	172.217.23.206
n=12	34.227.35.193
n=12	76.76.21.9
n=11	34.107.243.93
n=8	18.239.50.29
n=8	54.225.37.209
n=6	18.239.50.97
n=4	224.0.0.251
n=3	108.156.61.222
n=2	192.168.125.254
n=1	224.0.0.252
